"INDICATOR","HFA_402"

"HFA_402","Hospital discharges, respiratory system diseases"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"UNIT_TYPE","Unit"
"NUM_DISCHARGES","number of hospital discharges"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"","EU_BEFORE_MAY2004","ALL","1999","4706413"
"","EU_BEFORE_MAY2004","ALL","2000","4616266"
"","EU_BEFORE_MAY2004","ALL","2001","4442596"
"","EU_BEFORE_MAY2004","ALL","2002","4540332"
"","EU_BEFORE_MAY2004","ALL","2003","4708539"
"","EU_BEFORE_MAY2004","ALL","2004","4586100"
"","EU_BEFORE_MAY2004","ALL","2005","4835844"
"","EU_BEFORE_MAY2004","ALL","2006","4646440"
"","EU_BEFORE_MAY2004","ALL","2007","4790908"
"","EU_MEMBERS","ALL","2000","6042343"
"","EU_MEMBERS","ALL","2001","5896363"
"","EU_MEMBERS","ALL","2002","6017583"
"","EU_MEMBERS","ALL","2003","6138645"
"","EU_MEMBERS","ALL","2004","6071012"
"","EU_MEMBERS","ALL","2005","6182535"
"","EU_MEMBERS","ALL","2006","5995524"
"","EU_MEMBERS","ALL","2007","6093693"
"FIN","","ALL","1987","109139"
"FIN","","ALL","1988","115169"
"FIN","","ALL","1989","111289"
"FIN","","ALL","1990","104376"
"FIN","","ALL","1991","106252"
"FIN","","ALL","1992","108009"
"FIN","","ALL","1993","123301"
"FIN","","ALL","1994","105722"
"FIN","","ALL","1995","118145"
"FIN","","ALL","1996","129731"
"FIN","","ALL","1997","126083"
"FIN","","ALL","1998","129380"
"FIN","","ALL","1999","126371"
"FIN","","ALL","2000","123738"
"FIN","","ALL","2001","117104"
"FIN","","ALL","2002","112175"
"FIN","","ALL","2003","110330"
"FIN","","ALL","2004","100409"
"FIN","","ALL","2005","83385"
"FIN","","ALL","2006","74354"
"FIN","","ALL","2007","75605"
"FRA","","ALL","1997","870900"
"FRA","","ALL","1998","873200"
"FRA","","ALL","1999","845800"
"FRA","","ALL","2000","835600"
"FRA","","ALL","2001","784200"
"FRA","","ALL","2002","772300"
"FRA","","ALL","2003","767900"
"FRA","","ALL","2004","759500"
"FRA","","ALL","2005","816600"
"FRA","","ALL","2006","778100"
"FRA","","ALL","2007","775100"
"FRA","","ALL","2008","768300"
"FRA","","ALL","2009","800500"
"GBR","","ALL","1996","674461"
"GBR","","ALL","1997","665195"
"GBR","","ALL","1998","711200"
"GBR","","ALL","1999","687265"
"GBR","","ALL","2000","655116"
"GBR","","ALL","2001","620754"
"GBR","","ALL","2002","647380"
"GBR","","ALL","2003","674078"
"GBR","","ALL","2004","674120"
"GBR","","ALL","2005","705420"
"GBR","","ALL","2006","690215"
"GBR","","ALL","2007","708211"
"GBR","","ALL","2008","731776"
"GBR","","ALL","2009","741072"
"GBR","","ALL","2010","765275"
"GEO","","ALL","1990","140745"
"GEO","","ALL","1991","123364"
"GEO","","ALL","1992","70149"
"GEO","","ALL","1993","54505"
"GEO","","ALL","1994","39517"
"GEO","","ALL","1995","37701"
"GEO","","ALL","1996","37947"
"GEO","","ALL","1997","35940"
"GEO","","ALL","1998","33885"
"GEO","","ALL","1999","31939"
"GEO","","ALL","2000","31045"
"GEO","","ALL","2001","31585"
"GEO","","ALL","2002","30979"
"GEO","","ALL","2003","33533"
"GEO","","ALL","2004","38395"
"GEO","","ALL","2005","44406"
"GEO","","ALL","2006","47340"
"GEO","","ALL","2007","51633"
"GEO","","ALL","2008","56649"
"GEO","","ALL","2009","55117"
"GEO","","ALL","2010","62446"
"GEO","","ALL","2011","63515"
"GEO","","ALL","2012","65177"
"GEO","","ALL","2013","68774"
"GEO","","ALL","2014","73172"
"GEO","","ALL","2015","89238"
"GEO","","ALL","2016","105475"
"GEO","","ALL","2017","99387"
"GEO","","ALL","2018","100885"
"GEO","","ALL","2019","120431"
"GEO","","ALL","2020","82528"
"GEO","","ALL","2021","71006"
"GEO","","ALL","2022","105306"
"GRC","","ALL","1970","116505"
"GRC","","ALL","1971","114555"
"GRC","","ALL","1972","116481"
"GRC","","ALL","1973","110148"
"GRC","","ALL","1974","98273"
"GRC","","ALL","1975","102651"
"GRC","","ALL","1976","110610"
"GRC","","ALL","1977","108955"
"GRC","","ALL","1978","104249"
"GRC","","ALL","1979","103439"
"GRC","","ALL","1980","115114"
"GRC","","ALL","1981","110724"
"GRC","","ALL","1982","107097"
"GRC","","ALL","1983","114360"
"GRC","","ALL","1984","118495"
"GRC","","ALL","1985","110543"
"GRC","","ALL","1986","108616"
"GRC","","ALL","1987","106088"
"GRC","","ALL","1988","105450"
"GRC","","ALL","1989","107480"
"GRC","","ALL","1990","106841"
"GRC","","ALL","1991","113799"
"GRC","","ALL","1992","115155"
"GRC","","ALL","1993","114149"
"GRC","","ALL","1994","112469"
"GRC","","ALL","1995","124345"
"GRC","","ALL","1996","126675"
"GRC","","ALL","1997","129021"
"GRC","","ALL","1998","137268"
"GRC","","ALL","1999","142178"
"GRC","","ALL","2000","148752"
"GRC","","ALL","2001","143996"
"GRC","","ALL","2002","149705"
"GRC","","ALL","2003","157821"
"GRC","","ALL","2004","157386"
"GRC","","ALL","2005","164906"
"GRC","","ALL","2006","161329"
"GRC","","ALL","2007","172022"
"HRV","","ALL","1981","62176"
"HRV","","ALL","1982","61180"
"HRV","","ALL","1983","62825"
"HRV","","ALL","1984","61290"
"HRV","","ALL","1985","61640"
"HRV","","ALL","1986","62547"
"HRV","","ALL","1987","61412"
"HRV","","ALL","1988","62555"
"HRV","","ALL","1989","64629"
"HRV","","ALL","1990","62684"
"HRV","","ALL","1991","40130"
"HRV","","ALL","1992","37010"
"HRV","","ALL","1993","37798"
"HRV","","ALL","1994","45548"
"HRV","","ALL","1995","49328"
"HRV","","ALL","1996","50360"
"HRV","","ALL","1997","50878"
"HRV","","ALL","1998","54064"
"HRV","","ALL","1999","54460"
"HRV","","ALL","2000","50407"
"HRV","","ALL","2001","47842"
"HRV","","ALL","2002","44789"
"HRV","","ALL","2003","49695"
"HRV","","ALL","2004","49226"
"HRV","","ALL","2005","50977"
"HRV","","ALL","2006","49238"
"HRV","","ALL","2007","50466"
"HRV","","ALL","2008","46569"
"HRV","","ALL","2009","46515"
"HRV","","ALL","2010","44095"
"HUN","","ALL","1992","192283"
"HUN","","ALL","1993","183396"
"HUN","","ALL","1994","224164"
"HUN","","ALL","1995","209904"
"HUN","","ALL","1996","243270"
"HUN","","ALL","1997","225933"
"HUN","","ALL","1998","218576"
"HUN","","ALL","1999","210762"
"HUN","","ALL","2000","220505"
"HUN","","ALL","2001","203572"
"HUN","","ALL","2002","194547"
"HUN","","ALL","2003","196927"
"HUN","","ALL","2004","213467"
"HUN","","ALL","2005","218677"
"HUN","","ALL","2006","197700"
"HUN","","ALL","2007","167003"
"HUN","","ALL","2008","161797"
"HUN","","ALL","2009","171279"
"HUN","","ALL","2010","168535"
"IRL","","ALL","1994","52215"
"IRL","","ALL","1995","58419"
"IRL","","ALL","1996","58132"
"IRL","","ALL","1997","57927"
"IRL","","ALL","1998","57736"
"IRL","","ALL","1999","58161"
"IRL","","ALL","2000","56634"
"IRL","","ALL","2001","56163"
"IRL","","ALL","2002","55331"
"IRL","","ALL","2003","58713"
"IRL","","ALL","2004","58640"
"IRL","","ALL","2005","58346"
"IRL","","ALL","2006","59632"
"IRL","","ALL","2007","58309"
"IRL","","ALL","2008","57773"
"IRL","","ALL","2009","58317"
"IRL","","ALL","2010","54400"
"ISL","","ALL","1989","3316"
"ISL","","ALL","1990","3204"
"ISL","","ALL","1991","3749"
"ISL","","ALL","1992","3887"
"ISL","","ALL","1993","4002"
"ISL","","ALL","1994","4049"
"ISL","","ALL","1998","3529"
"ISL","","ALL","1999","3535"
"ISL","","ALL","2000","3359"
"ISL","","ALL","2001","3369"
"ISL","","ALL","2002","4026"
"ISL","","ALL","2003","3174"
"ISL","","ALL","2004","3100"
"ISL","","ALL","2005","2909"
"ISL","","ALL","2006","2734"
"ISL","","ALL","2007","2784"
"ISL","","ALL","2008","2615"
"ISL","","ALL","2009","2369"
"ISR","","ALL","1987","41060"
"ISR","","ALL","1990","51070"
"ISR","","ALL","1993","60085"
"ISR","","ALL","1994","66484"
"ISR","","ALL","1995","77950"
"ISR","","ALL","1996","77407"
"ISR","","ALL","1997","82421"
"ISR","","ALL","1998","85375"
"ISR","","ALL","1999","94198"
"ISR","","ALL","2000","92258"
"ISR","","ALL","2001","93735"
"ISR","","ALL","2002","93781"
"ISR","","ALL","2003","97111"
"ISR","","ALL","2004","92412"
"ISR","","ALL","2005","98025"
"ISR","","ALL","2006","100181"
"ISR","","ALL","2007","99731"
"ISR","","ALL","2008","94087"
"ITA","","ALL","1982","749731"
"ITA","","ALL","1984","725719"
"ITA","","ALL","1986","750236"
"ITA","","ALL","1987","723997"
"ITA","","ALL","1988","672945"
"ITA","","ALL","1989","665317"
"ITA","","ALL","1990","656954"
"ITA","","ALL","1991","685669"
"ITA","","ALL","1992","716788"
"ITA","","ALL","1993","724962"
"ITA","","ALL","1994","737103"
"ITA","","ALL","1995","629500"
"ITA","","ALL","1996","565296"
"ITA","","ALL","1997","667734"
"ITA","","ALL","1998","703024"
"ITA","","ALL","1999","713730"
"ITA","","ALL","2000","694828"
"ITA","","ALL","2001","662767"
"ITA","","ALL","2002","672739"
"ITA","","ALL","2003","672052"
"ITA","","ALL","2004","641013"
"ITA","","ALL","2005","660441"
"ITA","","ALL","2006","627068"
"ITA","","ALL","2007","618250"
"ITA","","ALL","2008","608057"
"ITA","","ALL","2009","624416"
"KAZ","","ALL","1990","778298"
"KAZ","","ALL","1991","855907"
"KAZ","","ALL","1992","684961"
"KAZ","","ALL","1993","705066"
"KAZ","","ALL","1994","517206"
"KAZ","","ALL","1995","435411"
"KAZ","","ALL","1996","359862"
"KAZ","","ALL","1997","332350"
"KAZ","","ALL","1998","326271"
"KAZ","","ALL","1999","277407"
"KAZ","","ALL","2000","277973"
"KAZ","","ALL","2001","299660"
"KAZ","","ALL","2002","322015"
"KAZ","","ALL","2003","364065"
"KAZ","","ALL","2004","386872"
"KAZ","","ALL","2005","403522"
"KAZ","","ALL","2006","372155"
"KAZ","","ALL","2007","391790"
"KAZ","","ALL","2008","375612"
"KAZ","","ALL","2009","418781"
"KAZ","","ALL","2010","373141"
"KAZ","","ALL","2011","393728"
"KAZ","","ALL","2012","397700"
"KAZ","","ALL","2013","394624"
"KAZ","","ALL","2014","386708"
"KAZ","","ALL","2015","381995"
"KAZ","","ALL","2016","409713"
"KAZ","","ALL","2017","410303"
"KAZ","","ALL","2018","420217"
"KAZ","","ALL","2019","417787"
"KAZ","","ALL","2020","329150"
"KAZ","","ALL","2021","342273"
"KAZ","","ALL","2022","389854"
"KGZ","","ALL","1980","197982"
"KGZ","","ALL","1981","200502"
"KGZ","","ALL","1982","196894"
"KGZ","","ALL","1983","205373"
"KGZ","","ALL","1984","215470"
"KGZ","","ALL","1985","231948"
